BenchmarkJSON/Records/Unmarshal     1335	    268471 ns/op	 107.61 MB/s	    269335 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1418	    281483 ns/op	 102.64 MB/s	    282303 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Small/Marshal   620826	       522.0 ns/op	 128.36 MB/s	       524.1 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   715490	       534.1 ns/op	 125.44 MB/s	       535.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   660094	       539.6 ns/op	 124.17 MB/s	       542.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   720810	       508.5 ns/op	 131.77 MB/s	       510.1 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   644202	       544.6 ns/op	 123.03 MB/s	       543.0 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   439768	       845.4 ns/op	  79.26 MB/s	       848.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   697479	       541.3 ns/op	 123.77 MB/s	       543.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   648484	       537.9 ns/op	 124.55 MB/s	       540.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   660810	       531.0 ns/op	 126.17 MB/s	       532.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   688752	       521.1 ns/op	 128.57 MB/s	       523.9 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   393037	       884.2 ns/op	  75.77 MB/s	       888.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   400002	       852.1 ns/op	  78.63 MB/s	       853.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   446124	       884.0 ns/op	  75.79 MB/s	       887.2 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   439419	       865.5 ns/op	  77.41 MB/s	       868.9 cpu-ns/op	       0 B/op	       0 allocs/op
