comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
ascii-quote-runs,TwitterStatus,Marshal,0,encode,3,12066168.666666666,1741795.6666666667,60628.0,16936.666666666668,8129.666666666667
ascii-quote-runs,TwitterStatus,Marshal,1,encode,3,12066884.666666666,1741842.3333333333,60631.333333333336,16936.333333333332,8129.666666666667
ascii-quote-runs,TwitterStatus,Marshal,1,current,3,12233667.0,1744068.0,58473.666666666664,16932.333333333332,8130.333333333333
ascii-quote-runs,TwitterStatus,Marshal,2,current,3,12234296.666666666,1744140.3333333333,58505.0,16939.0,8131.0
ascii-quote-runs,TwitterStatus,Marshal,2,encode,3,12065579.0,1741696.3333333333,60616.333333333336,16934.666666666668,8129.666666666667
ascii-quote-runs,CanadaGeometry,Marshal,0,current,3,14282948.333333334,2157575.0,73353.33333333333,21964.666666666668,972.6666666666666
ascii-quote-runs,CanadaGeometry,Marshal,0,encode,3,14283029.0,2157598.3333333335,76932.66666666667,21964.333333333332,972.6666666666666
ascii-quote-runs,CanadaGeometry,Marshal,1,encode,3,14281967.666666666,2157508.3333333335,76912.66666666667,21957.666666666668,972.0
ascii-quote-runs,CanadaGeometry,Marshal,1,current,3,14283304.333333334,2157607.6666666665,73368.66666666667,21964.333333333332,972.6666666666666
ascii-quote-runs,CanadaGeometry,Marshal,2,current,3,14282923.0,2157571.6666666665,73353.33333333333,21964.666666666668,972.6666666666666
ascii-quote-runs,CanadaGeometry,Marshal,2,encode,3,14282475.666666666,2157563.0,76927.33333333333,21957.666666666668,972.0
ascii-validate-runs,Small,Unmarshal,0,encode,200,10070.165,1715.355,66.095,12.01,4.04
ascii-validate-runs,Small,Unmarshal,0,final,200,10046.165,1711.355,76.09,12.01,4.04
ascii-validate-runs,Small,Unmarshal,1,final,200,10046.165,1711.355,76.09,12.01,4.04
ascii-validate-runs,Small,Unmarshal,1,encode,200,10046.165,1711.355,67.08,12.01,4.04
ascii-validate-runs,Small,Unmarshal,2,encode,200,10046.165,1711.355,67.08,12.01,4.04
ascii-validate-runs,Small,Unmarshal,2,final,200,10046.165,1711.355,76.09,12.01,4.04
ascii-validate-runs,ASCII8,Unmarshal,0,encode,200,1745.165,287.355,4.9,5.01,0.035
ascii-validate-runs,ASCII8,Unmarshal,0,final,200,1745.165,287.355,3.895,5.01,0.035
ascii-validate-runs,ASCII8,Unmarshal,1,final,200,1745.165,287.355,3.895,5.01,0.035
ascii-validate-runs,ASCII8,Unmarshal,1,encode,200,1745.165,287.355,4.9,5.01,0.035
ascii-validate-runs,ASCII8,Unmarshal,2,encode,200,1745.165,287.355,4.9,5.01,0.035
ascii-validate-runs,ASCII8,Unmarshal,2,final,200,1745.165,287.355,3.895,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,0,encode,200,1728.165,239.355,3.9,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,0,final,200,1728.165,239.355,3.89,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,1,final,200,1728.165,239.355,3.89,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,1,encode,200,1728.165,239.355,3.9,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,2,encode,200,1728.165,239.355,3.9,5.01,0.035
ascii-validate-runs,ASCII32,Unmarshal,2,final,200,1728.165,239.355,3.89,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,0,encode,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,0,final,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,1,final,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,1,encode,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,2,encode,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII256,Unmarshal,2,final,200,2160.165,285.355,5.925,5.01,0.035
ascii-validate-runs,ASCII4096,Unmarshal,0,encode,200,10073.58,1165.965,10.52,5.845,0.055
ascii-validate-runs,ASCII4096,Unmarshal,0,final,200,10075.9,1166.275,11.56,5.845,0.055
ascii-validate-runs,ASCII4096,Unmarshal,1,final,200,10075.9,1166.275,11.545,5.845,0.055
ascii-validate-runs,ASCII4096,Unmarshal,1,encode,200,10074.37,1166.05,10.59,5.845,0.055
