BenchmarkJSON/Small/Unmarshal   394374	       975.6 ns/op	  68.67 MB/s	       979.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   389956	       919.7 ns/op	  72.85 MB/s	       918.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   401679	       922.1 ns/op	  72.66 MB/s	       926.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   406594	       921.3 ns/op	  72.72 MB/s	       924.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   364701	       912.4 ns/op	  73.44 MB/s	       916.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   209718	      1536 ns/op	2668.31 MB/s	      1542 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   376815	       941.9 ns/op	4350.97 MB/s	       945.8 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   351835	      1012 ns/op	4048.11 MB/s	      1018 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   313060	       992.6 ns/op	4128.45 MB/s	       995.8 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   316698	      1042 ns/op	3933.74 MB/s	      1050 cpu-ns/op	    4864 B/op	       1 allocs/op
